target,title,address,imgUrl,description,latitude,longitude,rating,place_id
coffees,Coffee,232 Đ. Bùi Thị Xuân Phường 2 Thành phố Đà Lạt Lâm Đồng Việt Nam,,,11.9521006,108.4394416,,ChIJH5E8ftcScTERP3L4L1VTaHQ
coffees,Green Box Coffee,85 Xô Viết Nghệ Tĩnh Phường 7 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipN-S9sRYiWLx74dtVFjAcpHyVixzNWlY7Gcp7C9=w163-h92-k-no,,11.9640313,108.43114109999999,4.5,ChIJlRwRldEScTERtwMmI2P-gV4
coffees,Wayfarer coffee,WCVP+3H8 Đường Nguyễn Thị Minh Khai Phường 1 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMY3MpPsFVw9smXmJlI5Ka0AXW9Je2nOrG-0y2j=w122-h92-k-no,,11.9426664,108.4364559,3.4,ChIJDRW1GC8TcTERV7lcvXi-GpI
coffees,El Soñador Coffee & Tea,24D Nguyễn Du Phường 9 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMp8-5n5q3DAKpTS7aPuGL3i03LuUM19Q5Zh6RA=w80-h106-k-no,,11.9469123,108.4624144,4.3,ChIJ700wvXETcTERUNxCuceCjw0
coffees,Dreamers: home and coffee,B19 Đường Đặng Thái Thân Phường 3 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMQYkhNRoL05qKf6FXXJGpEUGVAJ8ZKrTtL871X=w122-h92-k-no,,11.929274099999999,108.4487053,4.3,ChIJFdod3_gTcTERkAPvkYpQfK8
coffees,LATICA Coffee & Cocktails - Dalat Railway Station,01 Quang Trung Phường 9 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNxxGn6rqv_LMtcBxrikgoT-fmFejqLOp7cdvQp=w80-h106-k-no,,11.9421597,108.45482039999999,4.9,ChIJFZQnq7wTcTERDW_COcY7saM
coffees,The Dome Coffee & Tea,118 Nguyễn Công Trứ Phường 8 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipN0SAAVD3-aoVOnBL3aeNSrQ-SHqq98prlsKB9N=w80-h106-k-no,,11.956531199999999,108.4393279,4.8,ChIJV73ox1ETcTEROQ12fXo9Pxs
coffees,coffee kem Bơ,162 Đường Bùi Thị Xuân Phường 2 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipOpFCbNZdmCNOGhhn5nIfzyVoteTlswSC-_VGWf=w163-h92-k-no,,11.949067999999999,108.4391375,,ChIJI1XQowgTcTERxhTS-B-p0GQ
coffees,Ruby Green - Coffee Đà Lạt,Đ. Trần Nhân Tông Phường 8 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMs2ySttZtYbrYZEfTNsqHVG2aCL-7Kc8wPuGQf=w80-h142-k-no,,11.9564569,108.4463828,4,ChIJGVn56goTcTERxo4Yqpig6Ws
coffees,Cattleya Coffee,9 Tương Phố Phường 9 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipM6DI1FZt9TCnxIiN5GbCpeDHwREme52HAMFNYZ=w80-h106-k-no,,11.9470013,108.46178239999999,3.9,ChIJPzM_bY0TcTERO2SztnkOazM
coffees,Viva Star Coffee Đà Lạt,94 Đường Bùi Thị Xuân Phường 2 Thành phố Đà Lạt Lâm Đồng 66000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNz2y_MkUiTA3GRjHT9MiG_X0_GUp7O7T2S645J=w122-h92-k-no,,11.9476371,108.4405906,4.2,ChIJAbPsufATcTERGcZiBfQzeI8
coffees,N8 coffee,23 Đ. Đào Duy Từ Phường 3 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipM8wDPmIqAKf44TunM3XLzi7qqHoxaJ6Z8X_8na=w80-h142-k-no,,11.9349555,108.4339292,5,ChIJyzGJ53kTcTERxsoZ0tBGF0c
coffees,Kan Coffee,50 Đường Triệu Việt Vương Phường 3 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNgtZ_v6iN-rpCGqbQQPaT_E5QAVeot0WYFF-lH=w122-h92-k-no,,11.927863799999999,108.4322546,4.3,ChIJRcoU9DUTcTERTtZSj6Xrtpw
coffees,Zalo Coffee,242 Phan Đình Phùng Phường 2 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipP5mCdMdzhFH7FqbrssWrVCzBUtsLRo7d41afNS=w122-h92-k-no,,11.9494989,108.43515149999999,4.2,ChIJP1jeINYScTERvunJvqjpw68
coffees,Khang Coffee,30 Nguyễn Công Trứ Phường 8 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMaos8C5LSSbl_SzBSP3dp3ny0XB1foW1qUokJc=w80-h106-k-no,,11.955088199999999,108.44141189999999,2.5,ChIJ68GCmWETcTERUY19b66z76w
coffees,Lululola Coffee + Cà Phê Accoustic Và VIew Đà Lạt,Đường 3/4 Phường 3 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipPl8MyJYLQuUwovr-op802YArRqo9EJ4yz36b0H=w80-h119-k-no,,11.919983199999999,108.4421036,4.2,ChIJX3Kz7EkTcTERFLUQaEgAj3s
coffees,Coffee Trung Nguyên 90 Bùi Thị Xuân Đà Lạt,90 Đường Bùi Thị Xuân Phường 2 Thành phố Đà Lạt Lâm Đồng 66000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMxCl_UUomQuPBZeXtMZcdwI-Xheuzt3ox6z-d4=w122-h92-k-no,,11.9469976,108.4407021,4.7,ChIJT0Y172wTcTERJo11db1zOTk
coffees,Lavie En Rose Coffee & Tea,9 3 Tháng 4 Phường 3 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipPLDY6i-51YzF4znCee5T4Y3tCMsVyE6X2rxqkL=w138-h92-k-no,,11.9268514,108.4476657,,ChIJLYgqfT8TcTERdtQ7pSIAyl4
coffees,Little House Coffee,32 Đường Trạng Trình Phường 9 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMEwKAXX-bzLQVrktfkss9en6vkvsDFqPxB8NQH=w122-h92-k-no,,11.9519975,108.4555535,4.4,ChIJ92jywQITcTERJSGR-AzRkw0
coffees,LA COFFEE & MILK TEA(cafe Điếu cày),BL 8 Yersin Phường 10 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipOgpTsdWow62XJ3lcjGCgSJjTTVxU1rT9GiCeDf=w95-h92-k-no,,11.947130999999999,108.45493499999999,4.9,ChIJM4VoA0MTcTERS_zzQKhXhQ8
coffees,Kết Nối 2 coffee,211 Đường Hai Bà Trưng Phường 2 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipPkVgPUVwGEiLgXmNXRTE3o-zQwmmj1cZNPLXHB=w80-h106-k-no,,11.9482795,108.4334056,4,ChIJ-4xsidQScTERWwoHUfKOO6o
coffees,Cafe An - an coffee,272 Đường Hai Bà Trưng Phường 6 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipP69t9eorQd6xJWXboqe_gK-ZYwX1ISGlEdPTHn=w122-h92-k-no,,11.9500426,108.43258619999999,4.4,ChIJ8xXTyBETcTERVBc1bJxk_5o
coffees,The Green Coffee - Ba Trieu,33 Đường Bà Triệu Phường 3 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipOqDJQNnuJ30mlzKEHYcMiKNduhsPw6Rxd5L3Em=w122-h92-k-no,,11.937301,108.4339634,4.4,ChIJJaKwCPYTcTER6iqHQbJnfTU
coffees,The Green Coffee - Nguyên Tử Lực,129 Đường Nguyên Tử Lực Phường 8 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNxyYni9t-FGlfYjlhn-bZk2ReuM-TjVAolM6QE=w80-h106-k-no,,11.9671866,108.4528362,3.8,ChIJQ93Z6QYTcTERdAVkxpVp6Q4
coffees,GoAllDay Coffee,Đ. Nguyễn Chí Thanh Phường 1 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipM_t4vnaeQ87T3Zvy5s3RSleq-wzlRk9YOzULNI=w122-h92-k-no,,11.942432199999999,108.4360092,,ChIJJWR5LT8TcTER2GLsI_IS-I8
coffees,The Present Coffee,16B Đ. Trịnh Hoài Đức Phường 11 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMg_8_OrZ9VvdSyJeN1koiHmSCzkrFT1Mf0UjAp=w92-h92-k-no,,11.9467997,108.4838987,4.7,ChIJnbTkiKQTcTERK53-_VUpCp4
coffees,Dolly’s Coffee and Yarn,80B Đường Đống Đa Phường 3 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMh78Mqa-UtUMNjYRxHARTKfrXT4Vh3U5CId4bG=w80-h106-k-no,,11.9255854,108.4390371,,ChIJ40iYsAgTcTERO8pUkm2Xbyw
coffees,Thăng Coffee,11 Đường Nguyễn Biểu Dốc Nhà Làng Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMErF0kVJH8t0lGQ13yHI1Jxdvsoq3q_b8AxhCi=w80-h119-k-no,,11.9433432,108.4346853,5,ChIJz3AGjE4TcTERov2drKz-jV4
coffees,Bad Day Coffee & Cake,40A Đường Trương Công Định Phường 1 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNfveE66iJ9oGR8sAjf55t9F5IJALtOfrzSNJFR=w80-h106-k-no,,11.9439233,108.43471,4.9,ChIJoWlUtjkTcTERSBSIRlqevoc
coffees,Homemade Garden Coffee,31 3 Tháng 4 Phường 3 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipPgCRj9UvTNIEa9lR1Ajdn3w7P6rBHKkkH3qG91=w80-h106-k-no,,11.925308399999999,108.4484815,5,ChIJCQm1QLkTcTERK-cD1nr9V2U
